2025-06-23 13:17:31,532 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:39:46,606 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 13:39:46,688 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 13:39:46,922 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-23 13:39:47,786 -0300 [AWT-EventQueue-0] WARN  (DriverManagerConnectionProviderImpl.java:75) - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2025-06-23 13:39:47,796 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:119) - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://diretor:3306/lojaalex?useSSL=false&zeroDateTimeBehavior=convertToNull&autoReconnect=true]
2025-06-23 13:39:47,796 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:128) - HHH10001001: Connection properties: {password=****, user=root}
2025-06-23 13:39:47,802 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:132) - HHH10001003: Autocommit mode: false
2025-06-23 13:39:47,809 -0300 [AWT-EventQueue-0] INFO  (DriverManagerConnectionProviderImpl.java:322) - HHH000115: Hibernate connection pool size: 20 (min=1)
2025-06-23 13:40:09,134 -0300 [AWT-EventQueue-0] INFO  (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2025-06-23 13:40:09,179 -0300 [AWT-EventQueue-0] INFO  (ManagedBeanRegistryInitiator.java:76) - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2025-06-23 13:40:10,991 -0300 [AWT-EventQueue-0] INFO  (DdlTransactionIsolatorNonJtaImpl.java:48) - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@b95475d] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2025-06-23 13:40:11,289 -0300 [AWT-EventQueue-0] INFO  (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-06-23 13:40:21,843 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:34) - achou senha bean
2025-06-23 13:40:21,997 -0300 [AWT-EventQueue-0] INFO  (Usuariobean.java:56) - achou usuario bean
2025-06-23 13:40:22,170 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:40:22,184 -0300 [AWT-EventQueue-0] INFO  (CadempBean.java:167) - listou empresa bean2 
2025-06-23 13:43:11,760 -0300 [AWT-EventQueue-0] INFO  (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: play]
2025-06-23 13:43:11,834 -0300 [AWT-EventQueue-0] INFO  (Version.java:44) - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-23 13:43:12,068 -0300 [AWT-EventQueue-0] INFO  (JavaReflectionManager.java:56) - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
